Location,Code,Year,Age: 70+ years,Age: 50-69 years,Age: 15-49 years,Age: 5-14 years,Age: Under 5,Age: Under 14
World,OWID_WRL,1990,2205725,2568809,828087,67555,85197,152752
World,OWID_WRL,1991,2265683,2607618,845262,68235,84005,152240
World,OWID_WRL,1992,2331705,2647806,868368,68843,82272,151115
World,OWID_WRL,1993,2415787,2708352,896160,69315,80413,149728
World,OWID_WRL,1994,2483051,2734226,933189,70300,78307,148607
World,OWID_WRL,1995,2560138,2737443,961240,71143,75976,147119
World,OWID_WRL,1996,2634416,2737051,977652,71295,73325,144620
World,OWID_WRL,1997,2713878,2744519,988606,71264,70998,142262
World,OWID_WRL,1998,2808483,2754597,1003682,71159,68525,139684
World,OWID_WRL,1999,2915131,2788641,1020291,70571,66285,136856
World,OWID_WRL,2000,3019502,2817327,1034870,69835,63846,133681
World,OWID_WRL,2001,3113155,2843002,1032438,68004,61206,129210
World,OWID_WRL,2002,3212336,2898687,1023121,64318,59131,123449
World,OWID_WRL,2003,3304747,2955447,1013104,61398,57320,118718
World,OWID_WRL,2004,3384896,2995098,1011893,60453,55976,116429
World,OWID_WRL,2005,3483884,3044870,1013206,60229,55310,115539
World,OWID_WRL,2006,3545192,3060354,1007320,59154,54694,113848
World,OWID_WRL,2007,3628797,3103650,1010528,58047,53786,111833
World,OWID_WRL,2008,3735862,3159559,1024454,58231,53286,111517
World,OWID_WRL,2009,3823178,3204206,1033477,58589,52513,111102
World,OWID_WRL,2010,3916294,3265434,1042594,57863,51493,109356
World,OWID_WRL,2011,3993747,3329808,1041282,57449,50967,108416
World,OWID_WRL,2012,4066251,3406086,1036025,57168,50975,108143
World,OWID_WRL,2013,4146606,3470219,1037558,56719,50812,107531
World,OWID_WRL,2014,4228779,3554579,1035103,56315,50286,106601
World,OWID_WRL,2015,4321030,3676504,1035356,56078,49534,105612
World,OWID_WRL,2016,4422243,3775056,1040557,55552,48474,104026
World,OWID_WRL,2017,4551021,3836127,1045531,54988,46953,101941
